What is the title/topic of <b>RFC 768</b>?	User Datagram Protocol	rfc_number_to_title transport
What is the RFC number for <b>User Datagram Protocol</b>?	RFC 768	rfc_title_to_number transport
RFC 768 (User Datagram Protocol): Why is this RFC relevant for <b>threat hunting</b>?	Defines UDP, the lightweight transport behind DNS, telemetry, scanning, and many amplification patterns.	relevance transport
What is the title/topic of <b>RFC 791</b>?	Internet Protocol	rfc_number_to_title routing security
What is the RFC number for <b>Internet Protocol</b>?	RFC 791	rfc_title_to_number routing security
RFC 791 (Internet Protocol): Why is this RFC relevant for <b>threat hunting</b>?	Establishes IPv4 fields that hunters inspect for fragmentation, spoofing, tunneling, and routing anomalies.	relevance routing security
What is the title/topic of <b>RFC 792</b>?	Internet Control Message Protocol	rfc_number_to_title routing security
What is the RFC number for <b>Internet Control Message Protocol</b>?	RFC 792	rfc_title_to_number routing security
RFC 792 (Internet Control Message Protocol): Why is this RFC relevant for <b>threat hunting</b>?	Documents ICMP behavior used in reconnaissance, diagnostics, covert channels, and denial-of-service activity.	relevance routing security
What is the title/topic of <b>RFC 793</b>?	Transmission Control Protocol	rfc_number_to_title transport
What is the RFC number for <b>Transmission Control Protocol</b>?	RFC 793	rfc_title_to_number transport
RFC 793 (Transmission Control Protocol): Why is this RFC relevant for <b>threat hunting</b>?	Defines TCP state, flags, sequencing, and connection semantics central to flow analysis and intrusion detection.	relevance transport
What is the title/topic of <b>RFC 826</b>?	An Ethernet Address Resolution Protocol: Or Converting Network Protocol Addresses to 48.bit Ethernet Address for Transmission on Ethernet Hardware	rfc_number_to_title routing security
What is the RFC number for <b>An Ethernet Address Resolution Protocol: Or Converting Network Protocol Addresses to 48.bit Ethernet Address for Transmission on Ethernet Hardware</b>?	RFC 826	rfc_title_to_number routing security
RFC 826 (An Ethernet Address Resolution Protocol: Or Converting Network Protocol Addresses to 48.bit Ethernet Address for Transmission on Ethernet Hardware): Why is this RFC relevant for <b>threat hunting</b>?	Explains ARP resolution, a core source of local-network spoofing, poisoning, and lateral movement signals.	relevance routing security
What is the title/topic of <b>RFC 1035</b>?	Domain names - implementation and specification	rfc_number_to_title application monitoring
What is the RFC number for <b>Domain names - implementation and specification</b>?	RFC 1035	rfc_title_to_number application monitoring
RFC 1035 (Domain names - implementation and specification): Why is this RFC relevant for <b>threat hunting</b>?	Defines DNS messages and resource records that drive domain hunting, tunneling detection, and infrastructure analysis.	relevance application monitoring
What is the title/topic of <b>RFC 1122</b>?	Requirements for Internet Hosts - Communication Layers	rfc_number_to_title transport routing security
What is the RFC number for <b>Requirements for Internet Hosts - Communication Layers</b>?	RFC 1122	rfc_title_to_number transport routing security
RFC 1122 (Requirements for Internet Hosts - Communication Layers): Why is this RFC relevant for <b>threat hunting</b>?	Clarifies host-layer protocol requirements useful when spotting malformed stacks and evasive implementations.	relevance transport routing security
What is the title/topic of <b>RFC 1123</b>?	Requirements for Internet Hosts - Application and Support	rfc_number_to_title application
What is the RFC number for <b>Requirements for Internet Hosts - Application and Support</b>?	RFC 1123	rfc_title_to_number application
RFC 1123 (Requirements for Internet Hosts - Application and Support): Why is this RFC relevant for <b>threat hunting</b>?	Covers host application requirements that help contextualize DNS, SMTP, and service behavior in investigations.	relevance application
What is the title/topic of <b>RFC 2131</b>?	Dynamic Host Configuration Protocol	rfc_number_to_title application monitoring
What is the RFC number for <b>Dynamic Host Configuration Protocol</b>?	RFC 2131	rfc_title_to_number application monitoring
